[object Object],TEST_TX_1754912719249,2025-08-11T11:45:19.250Z,pending,0,,,,,
oPKLqMCuiDr4Q7HyBbc6hzfFc6NgJuEV71AkaiXpump,3J5BmhFVkCBP69fbLc2ptaMUtuY1BjjW6Vkc6MW9NdjjoQw2YPcaiBzXSR1n1xuNHHrjRoQbsWVTERh4eRtkQTpS,2025-08-14T16:40:47.630Z,bought,1,7.966017726835303,true,,2025-08-14T16:40:47.631Z,
72NPTdi5fJC52uLmvRzJwKLstr756xpVAhHJQiGypump,4s6warhpeS1LQZ1ZEcHjTcbxrsQLdomyA4XEzNzKj9dkD9KkBw5XhUCAK7sfdM915MsqXk5DvrCHQZDB72ya3PQQ,2025-08-14T16:40:47.656Z,pending,0,,,,,
72NPTdi5fJC52uLmvRzJwKLstr756xpVAhHJQiGypump,4s6warhpeS1LQZ1ZEcHjTcbxrsQLdomyA4XEzNzKj9dkD9KkBw5XhUCAK7sfdM915MsqXk5DvrCHQZDB72ya3PQQ,2025-08-14T16:40:47.656Z,bought,1,2.366244073483286,true,,2025-08-14T16:40:47.657Z,
FtkHNZGRrQy9T3sGGEYVnsaVJ5HMKVqpPrvmJCC4pump,qKH7va9szfZAL3xR9qDUoAL7zxZRwPUdDg8RACyH6sokDvZF6ekyFLV6xngptuFiELexT6AMLyh67X3KLvamdAR,2025-08-14T16:40:47.675Z,pending,0,,,,,
FtkHNZGRrQy9T3sGGEYVnsaVJ5HMKVqpPrvmJCC4pump,qKH7va9szfZAL3xR9qDUoAL7zxZRwPUdDg8RACyH6sokDvZF6ekyFLV6xngptuFiELexT6AMLyh67X3KLvamdAR,2025-08-14T16:40:47.675Z,rejected,1,9.10766155294384,,,2025-08-14T16:40:47.676Z,Mint/Freeze authorities not renounced
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,4QPWGQuQ7azF4Nf49Pn33FjBn78UaDTdsZeHFuAPjp7BEdd83v9qgXEs1wsYrX2KRTEyFwKdjb8iurVyYiEucYJx,2025-08-14T16:40:47.701Z,pending,0,,,,,
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,4QPWGQuQ7azF4Nf49Pn33FjBn78UaDTdsZeHFuAPjp7BEdd83v9qgXEs1wsYrX2KRTEyFwKdjb8iurVyYiEucYJx,2025-08-14T16:40:47.701Z,rejected,1,0.6440440925803558,,,2025-08-14T16:40:47.702Z,Low liquidity: 0.64 ETH
72NPTdi5fJC52uLmvRzJwKLstr756xpVAhHJQiGypump,3enMv33MPhCJKTMrY6jDQnvedLX3fXwcKjaU3j21T6d8754AWcSLErQqTDGRdxnw5MWZhrmn53TEJJoNzGZD3Lqh,2025-08-14T16:40:47.720Z,pending,0,,,,,
72NPTdi5fJC52uLmvRzJwKLstr756xpVAhHJQiGypump,3enMv33MPhCJKTMrY6jDQnvedLX3fXwcKjaU3j21T6d8754AWcSLErQqTDGRdxnw5MWZhrmn53TEJJoNzGZD3Lqh,2025-08-14T16:40:47.720Z,rejected,1,8.95418990414087,,,2025-08-14T16:40:47.721Z,Mint/Freeze authorities not renounced
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,2Pbg1y1SbnTJKvTPLpj8LDVgooGPvTYoDD1qXj1nX5RbS3LjCNthkBKvNjYN5wsCKgmfJMuXUebXxtnfC7MmQhCC,2025-08-14T16:40:47.734Z,pending,0,,,,,
