timestamp,metric_name,value
2025-09-25T19:40:26.126Z,net_roi,0
2025-09-25T19:40:31.128Z,total_trades,0
2025-09-25T19:40:31.129Z,win_rate,0
2025-09-25T19:40:31.129Z,current_pool,600
2025-09-25T19:40:31.129Z,net_roi,0
2025-09-25T19:40:36.129Z,total_trades,0
2025-09-25T19:40:36.130Z,win_rate,0
2025-09-25T19:40:36.130Z,current_pool,600
2025-09-25T19:40:36.130Z,net_roi,0
2025-09-25T19:40:41.129Z,total_trades,0
2025-09-25T19:40:41.130Z,win_rate,0
2025-09-25T19:40:41.130Z,current_pool,600
2025-09-25T19:40:41.131Z,net_roi,0
2025-09-25T19:40:46.137Z,total_trades,0
2025-09-25T19:40:46.138Z,win_rate,0
2025-09-25T19:40:46.138Z,current_pool,600
2025-09-25T19:40:46.138Z,net_roi,0
2025-09-25T19:40:51.144Z,total_trades,0
2025-09-25T19:40:51.145Z,win_rate,0
2025-09-25T19:40:51.145Z,current_pool,600
2025-09-25T19:40:51.145Z,net_roi,0
2025-09-25T19:40:56.157Z,total_trades,0
2025-09-25T19:40:56.157Z,win_rate,0
2025-09-25T19:40:56.158Z,current_pool,600
2025-09-25T19:40:56.158Z,net_roi,0
2025-09-25T19:41:01.161Z,total_trades,0
2025-09-25T19:41:01.162Z,win_rate,0
2025-09-25T19:41:01.162Z,current_pool,600
2025-09-25T19:41:01.162Z,net_roi,0
2025-09-25T19:41:06.163Z,total_trades,0
2025-09-25T19:41:06.163Z,win_rate,0
2025-09-25T19:41:06.164Z,current_pool,600
2025-09-25T19:41:06.164Z,net_roi,0
2025-09-25T19:41:11.178Z,total_trades,0
2025-09-25T19:41:11.179Z,win_rate,0
2025-09-25T19:41:11.179Z,current_pool,600
2025-09-25T19:41:11.179Z,net_roi,0
2025-09-25T19:41:16.179Z,total_trades,0
2025-09-25T19:41:16.180Z,win_rate,0
2025-09-25T19:41:16.180Z,current_pool,600
2025-09-25T19:41:16.180Z,net_roi,0
2025-09-25T19:41:21.185Z,total_trades,0
2025-09-25T19:41:21.185Z,win_rate,0
2025-09-25T19:41:21.185Z,current_pool,600
2025-09-25T19:41:21.186Z,net_roi,0
2025-09-25T19:41:26.192Z,total_trades,0
2025-09-25T19:41:26.192Z,win_rate,0
2025-09-25T19:41:26.192Z,current_pool,600
2025-09-25T19:41:26.193Z,net_roi,0
2025-09-25T19:41:31.194Z,total_trades,0
2025-09-25T19:41:31.194Z,win_rate,0
2025-09-25T19:41:31.194Z,current_pool,600
2025-09-25T19:41:31.195Z,net_roi,0
2025-09-25T19:41:36.204Z,total_trades,0
2025-09-25T19:41:36.204Z,win_rate,0
2025-09-25T19:41:36.205Z,current_pool,600
2025-09-25T19:41:36.205Z,net_roi,0
2025-09-25T19:41:41.205Z,total_trades,0
2025-09-25T19:41:41.206Z,win_rate,0
2025-09-25T19:41:41.206Z,current_pool,600
2025-09-25T19:41:41.206Z,net_roi,0
2025-09-25T19:41:46.220Z,total_trades,0
2025-09-25T19:41:46.220Z,win_rate,0
2025-09-25T19:41:46.221Z,current_pool,600
2025-09-25T19:41:46.221Z,net_roi,0
2025-09-25T19:41:51.222Z,total_trades,0
2025-09-25T19:41:51.223Z,win_rate,0
2025-09-25T19:41:51.223Z,current_pool,600
2025-09-25T19:41:51.223Z,net_roi,0
2025-09-25T19:41:56.234Z,total_trades,0
2025-09-25T19:41:56.234Z,win_rate,0
2025-09-25T19:41:56.234Z,current_pool,600
2025-09-25T19:41:56.235Z,net_roi,0
2025-09-25T19:42:01.245Z,total_trades,0
2025-09-25T19:42:01.245Z,win_rate,0
2025-09-25T19:42:01.245Z,current_pool,600
2025-09-25T19:42:01.246Z,net_roi,0
2025-09-25T19:42:06.257Z,total_trades,0
2025-09-25T19:42:06.257Z,win_rate,0
2025-09-25T19:42:06.258Z,current_pool,600
2025-09-25T19:42:06.258Z,net_roi,0
2025-09-25T19:42:11.259Z,total_trades,0
2025-09-25T19:42:11.259Z,win_rate,0
2025-09-25T19:42:11.260Z,current_pool,600
2025-09-25T19:42:11.260Z,net_roi,0
2025-09-25T19:42:16.265Z,total_trades,0
2025-09-25T19:42:16.265Z,win_rate,0
2025-09-25T19:42:16.266Z,current_pool,600
2025-09-25T19:42:16.266Z,net_roi,0
2025-09-25T19:42:21.273Z,total_trades,0
2025-09-25T19:42:21.274Z,win_rate,0
2025-09-25T19:42:21.274Z,current_pool,600
2025-09-25T19:42:21.274Z,net_roi,0
2025-09-25T19:42:26.283Z,total_trades,0
2025-09-25T19:42:26.283Z,win_rate,0
2025-09-25T19:42:26.283Z,current_pool,600
2025-09-25T19:42:26.284Z,net_roi,0
2025-09-25T19:42:31.289Z,total_trades,0
2025-09-25T19:42:31.290Z,win_rate,0
2025-09-25T19:42:31.290Z,current_pool,600
2025-09-25T19:42:31.290Z,net_roi,0
2025-09-25T19:42:36.298Z,total_trades,0
2025-09-25T19:42:36.298Z,win_rate,0
2025-09-25T19:42:36.299Z,current_pool,600
2025-09-25T19:42:36.299Z,net_roi,0
2025-09-25T19:42:41.308Z,total_trades,0
2025-09-25T19:42:41.308Z,win_rate,0
2025-09-25T19:42:41.309Z,current_pool,600
2025-09-25T19:42:41.309Z,net_roi,0
2025-09-25T19:42:46.308Z,total_trades,0
2025-09-25T19:42:46.308Z,win_rate,0
2025-09-25T19:42:46.309Z,current_pool,600
2025-09-25T19:42:46.309Z,net_roi,0
2025-09-25T19:42:51.311Z,total_trades,0
2025-09-25T19:42:51.312Z,win_rate,0
2025-09-25T19:42:51.312Z,current_pool,600
2025-09-25T19:42:51.312Z,net_roi,0
2025-09-25T19:42:56.313Z,total_trades,0
2025-09-25T19:42:56.314Z,win_rate,0
2025-09-25T19:42:56.314Z,current_pool,600
2025-09-25T19:42:56.315Z,net_roi,0
2025-09-25T19:43:01.319Z,total_trades,0
2025-09-25T19:43:01.320Z,win_rate,0
2025-09-25T19:43:01.320Z,current_pool,600
2025-09-25T19:43:01.321Z,net_roi,0
2025-09-25T19:43:06.321Z,total_trades,0
2025-09-25T19:43:06.321Z,win_rate,0
2025-09-25T19:43:06.322Z,current_pool,600
2025-09-25T19:43:06.322Z,net_roi,0
2025-09-25T19:43:11.329Z,total_trades,0
2025-09-25T19:43:11.330Z,win_rate,0
